validAlertedResponses,age,gender,avg_happy,avg_energised,avg_focused,avg_stressed,avg_productive1h,avg_AC_10i,avg_AC_2i,avg_AC_5i,avg_BP_11i,avg_BP_13i,avg_BP_1i,avg_BP_9i,avg_EC_2i,avg_EC_5i,avg_GS_11i,avg_KP_10i,avg_SR_7m,avg_SU_3i,avg_SU_6i,avg_TL_10i,avg_TL_14i,avg_TL_6i,avg_TS_14i,avg_TS_1i,avg_AC_9m,avg_BP_4m,avg_EC_9m,avg_GS_12m,avg_GS_4m,avg_GS_7m,avg_KP_13m,avg_KP_3m,avg_KP_6m,avg_SR_12m,avg_SR_13m,avg_SR_14m,avg_SR_8m,avg_SU_12m,avg_SU_14m,avg_SU_16m,avg_TL_13m,avg_TL_16m,avg_TS_13m,avg_TS_16m,avg_TS_4m,avg_TS_8m,avg_AC_12t,avg_AC_4t,avg_AC_7t,avg_BP_5t,avg_GS_15t,avg_GS_5t,avg_GS_9m,avg_KP_4t,avg_KP_7t,avg_SU_15t,avg_TL_17t,avg_TL_1t,avg_TS_9t,avg_BA_1,avg_BA_2,avg_BA_3,avg_BA_4,avg_BA_5,avg_CE_1,avg_CE_2,avg_CE_3,avg_EE_1,avg_EE_2,avg_EE_3,avg_EE_4,avg_EE_5,avg_EE_6,avg_EE_7,avg_EE_8,avg_RC_1,avg_RC_2,avg_RC_3,avg_SA_1,avg_SA_2,avg_SA_3,avg_SA_4,avg_SA_5,avg_SA_6,avg_SA_7 
11,25-34,female,0.787818183,0.605909093,0.787727275,0.444666664,0.777666668,1,,0.75,0.25,,,1,0.75,,0.5,,,,0.75,1,0.5,1,,0.25,0.75,,,0.75,1,,,0.75,,,,1,,,,,0.25,,0.75,0.5,,,,,,0.5,,,0.75,,,0.75,,,0.5,,1,,,1,,0.5,1,,0.75,,,,,1,1,,,0.75,,,1,,1,,
11,35-44,female,0.651454546,0.484818182,0.575727273,0.666999996,0.309714283,0.5,0.75,0.5,0.5,0.5,0.75,,,,0.75,,,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,0.5,0.5,0.5,,,0.5,,0.5,,0.5,,,0.75,,,0.5,0.5,0.5,,0.5,,,0.5,0.5,,0.5,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,0.5,1,0.5,0.5,,,,,0.5,0.5,,0.5,0.5,0.5,0.5
5,16-24,male,0.766600001,0.666799998,0.766600001,,0.766600001,,,,1,,,,0.75,,0.75,,,,,,,,1,,,,,0.25,0.25,0.25,,,,,,0.25,,,,,0.25,,,,,,,,,,,,,,0.75,,0.75,,,,,,0,,,,,,0.75,,,,,,,,,0.5,,,,0.25,,,
13,25-34,female,0.577076921,0.538538461,0.653846154,0.266799998,0.611000001,,,,,0.75,,,1,,,,,,,1,,,,,,,,1,,,,,,1,0.5,1,1,,,,1,,1,1,1,1,,,,,,0.75,,1,0.5,0.25,0.25,0.5,,,1,,1,1,0.5,,1,,,1,0.75,1,1,1,,1,,,1,1,1,,1,1,
97,45-54,male,0.872793815,0.835000001,0.944969073,0.184756756,0.963500001,1,0.9375,0.916666667,0.9375,0.8,1,1,0.9375,0.9,1,1,0.916666667,1,1,0.916666667,0.75,1,1,1,0.916666667,0.857142857,0.8125,1,0.916666667,0.7,1,0.916666667,1,1,0.958333333,0.916666667,0.8125,0.875,0.8,0.875,0.8,1,1,0.75,0.9375,0.958333333,0.85,0.8,0.8125,0.833333333,0.875,0.791666667,0.7,0.916666667,0.958333333,0.8125,0.857142857,0.916666667,0.95,0.9,0.75,0.875,0.95,0.916666667,0.75,0.75,0.75,0.833333333,0.85,0.85,0.75,0.95,0.75,0.928571429,0.875,1,1,1,0.75,0.8,1,0.916666667,0.95,0.75,0.9
11,45-54,female,0.787636367,0.696818184,0.712090909,0.299800003,0.749900001,0.75,0.75,,0.5,0.75,0.75,0.75,1,1,0.75,0.75,1,,,0.75,0.75,1,0.25,1,,1,0.75,1,1,,0.75,0.75,,,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,,0.75,,0.25,,1,1,0.75,0.75,0.75,0.75,,0.75,0.75,,0.75,0.75,0.75,0.75,1,1,,0.75,0.75,0.75,0.75,1,,0.75
6,25-34,male,0.583333333,0.416833331,0.472333332,0.222333332,0.888999999,,,,0.75,,,,1,,,0.5,,0.75,,,0.25,,0.25,,,0.5,0.75,,,,,,,0.5,,,,,,0.75,,,,,,,,,,,,0.25,,,,,,,,,,,0.75,,,0.5,,0.5,,,,,0.5,,,,,,0.75,,1,,,,
79,35-44,male,0.588620253,0.510544304,0.79107595,0.59025,0.601888888,0.666666667,0.875,0.625,0.875,0.625,0.875,0.75,0.833333333,0.625,0.916666667,0.875,0.875,0.5,1,0.875,0.625,0.75,0.75,0.916666667,0.375,0.375,0.666666667,0.5,0.5,0.5,0.5,0.666666667,0.75,0.583333333,0.916666667,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.583333333,0.75,0.75,0.5,1,0.875,0.875,0.5,0.5,0.625,0.5,1,0.833333333,0.75,0.75,0.5,0.5,0.625,0.583333333,1,0.666666667,0.75,0.583333333,0.75,1,0.75,0.625,0.625,0.5,0.5,0.75,0.625,0.875
76,45-54,female,0.921039474,0.723644737,0.699552632,0.07336,0.765136364,1,1,1,0.875,1,0.75,0.875,1,1,1,1,1,,1,0.375,0.5,0.916666667,0.875,1,1,0.75,1,1,0.75,1,1,0.75,0.5,0.75,1,0.916666667,1,1,0.916666667,0.833333333,1,1,1,0.625,1,1,1,1,1,1,1,0.875,0.625,0.5,1,1,0.916666667,1,1,0.5,1,0.5,0.875,1,0.875,0.666666667,0.75,0.666666667,0.5,0.666666667,0.75,0.875,0.125,0.875,0.5,0.875,1,1,0.75,0.583333333,0.625,1,0.625,,0.5
155,45-54,male,0.671019354,0.574296773,0.591496773,0.327568966,0.578218749,0.6875,0.75,0.5,0.65,0.333333333,0.5,0.625,0.625,0.25,0.6875,0.875,0.75,0.875,0.5,0.875,0.35,0.7,0.3125,0.333333333,0.75,0.6875,0.75,0.6875,0.833333333,0.75,0.75,0.75,0.916666667,0.9,1,0.833333333,0.75,0.666666667,0.75,0.666666667,0.75,0.916666667,0.8,0.625,0.8,0.8,0.75,0.333333333,0.708333333,0.6875,0.416666667,0.5625,0.666666667,0.75,0.6875,0.55,0.333333333,0.4,0.6,0.625,0.5,0.625,0.75,0.916666667,0.55,0.3125,0.4375,0.4375,0.5,0.5,0.5,0.333333333,0.5,0.6,0.416666667,1,0.75,0.3125,0.45,0.5,0.5,0.75,0.5,0.625,0.375
17,55+,male,0.882235296,0.882294118,0.872529412,0.083333333,0.77775,,1,1,1,0.75,,,,0.75,,,,,1,,1,,1,1,0.75,0.75,1,,1,1,,0.75,0.75,0.75,,0.75,1,1,,1,,1,1,1,1,,0.75,0.75,1,,0.75,1,,0.5,,0.75,,0.75,1,1,1,0.75,,,,,,0.75,,,,1,1,1,1,1,,,,1,,,,,1
3,35-44,male,0.555666665,0.555666665,0.888999999,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,1,0.75,,0.75,,,0.5,,0.75,,,,,,,0.75,,,1,,0.5,0.5,0.25,,,0.25,,,,,1,,0.75,,,,,,,
24,35-44,male,0.53475,0.701291668,0.854041668,0.785714286,0.888833334,1,1,0.75,1,0.5,1,1,1,1,1,1,0.5,1,0.75,1,1,1,0.75,1,0.75,,0.75,,,0.5,0.75,1,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.25,1,0,0.75,,0.5,0.25,0.75,0.75,1,1,,0.75,0.75,,1,0.5,0.25,1,,0.75,0.5,0.75,,0.5,0.75,0.5,1,1,1,0.5,1,0.5,1,0.75,1,0.75,,0.75,1,0.5,1,0.75,0.5
2,>55,male,0.5,0.416500002,0.5,,0.166500002,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,0.25,,,,,,,,,,,0.25,,,
3,25-34,female,0.5,0.5,0.444333335,0.5,0.5,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,0,,0.75,,,,,0.25,,,,,,0.5,,,,,,,,,,,,,,0,
16,25-34,female,0.604062501,0.510375001,0.5625,0.520874999,0.733200002,,0.75,,0.75,0.5,,,0.75,,,,,,,0.5,0.75,,0.75,,0.5,0.25,,0.25,0.5,,0.5,0.5,,0.5,,,0.5,0.5,,,0.25,,0.5,0.5,,,0.5,,0.5,,0.25,,,0.5,0.5,,,0.5,0.5,,,,,0.5,,0.5,0.5,,,,,0.25,0.5,0.25,0.5,,,0.5,0.5,,,0.5,,,
6,35-44,male,0.55583333,0.333166669,0.416500002,0.333333333,0.416500002,0.75,,,0.75,,,,,,,,,,0.75,,,,0.5,,,,,,0.75,0.5,,,,0.75,0.75,,,,,0.75,0.5,,,,1,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,0.75,,,,,0.5,,,1,,0.75,,,,0.75,,
11,25-34,female,0.348454546,0.757363639,0.712090909,0.555333336,0.616799998,,,,,,,0.75,1,,,0.75,1,0.75,,,0.25,,0.75,0.75,,,,,,,1,0.75,,,,,0.75,0.75,,0.75,0.75,1,,,0.75,,,,,0.75,0.5,0.75,,,,,0.75,,0.75,0.5,0.75,,,,0.5,0.75,0.75,,,,,0.75,,1,,,,,,,0.75,0.5,1,0.25,0.75
255,35-44,female,0.884803924,0.846941178,0.861301963,0.021126582,0.852193071,0.944444444,1,0.75,0.972222222,0.825,1,0.96875,0.90625,0.575,0.977272727,0.725,0.8125,0.944444444,0.785714286,1,0.75,0.875,0.75,0.75,0.568181818,0.611111111,0.85,0.583333333,0.375,0.568181818,0.821428571,0.45,0.4,0.607142857,0.5,0.361111111,0.583333333,0.5,0.527777778,0.59375,0.444444444,0.392857143,0.625,0.444444444,0.5,0.475,0.7,0.611111111,0.681818182,0.708333333,0.7,0.6875,0.45,0.583333333,0.75,0.59375,0.694444444,0.7,0.472222222,0.464285714,0.527777778,0.3125,0.444444444,0.75,0.75,0.75,0.75,0.5625,0.722222222,0.725,0.53125,0.75,0.727272727,0.875,0.722222222,0.611111111,0.805555556,0.727272727,0.722222222,0.645833333,0.78125,0.392857143,0.777777778,0.7,0.795454545
4,25-34,female,0.666749999,0.624750003,0.499750003,,0.5,1,0.75,,1,,,,,,,0.75,,,0.75,0.75,,,0.75,,,,,0.75,0.5,,0.75,0.75,,,0.75,,,,0.75,,,0.5,,,0.75,,,,1,,,1,0.5,1,,,,,,,,0.75,,1,,,,,,,0.75,,,,,,1,,,,,,0.75,,
4,35-44,male,0.541749999,0.5,0.541749999,,0.222333332,0.75,,,,,,,,,,1,,,,,0.75,,,,,,,,,,,0.75,,,,,,,,,,,0.5,,,,0.75,,,,,,,0.75,0.75,,,,0.75,,0.75,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,
220,45-54,male,0.552322727,0.49625909,0.529604545,0.131693549,0.495960784,0.5,0.6875,0.583333333,0.785714286,0.84375,0.9,0.928571429,0.625,0.321428571,0.78125,0.375,0.85,0.821428571,0.583333333,0.833333333,0.642857143,0.53125,0.583333333,0.714285714,0.625,0.90625,0.666666667,0.875,0.964285714,0.6875,0.5,0.678571429,0.714285714,0.785714286,0.642857143,0.972222222,0.8125,0.857142857,0.777777778,0.75,0.785714286,0.375,0.84375,1,1,0.805555556,0.571428571,0.666666667,0.678571429,0.6875,0.65,0.571428571,0.53125,0.75,0.53125,0.583333333,0.25,0.428571429,0.555555556,0.142857143,0.333333333,0.9375,0.9375,0.875,0.53125,0.5,0.5,0.071428571,0.166666667,0.083333333,0.142857143,0.571428571,0,0.45,0.464285714,0.916666667,0.65625,0.321428571,0.53125,0.535714286,0.571428571,0.291666667,0.4375,0.40625,0.5
4,35-44,male,0.708000004,0.583499998,0.666749999,0,0.333333333,,,,0.75,,,,0.75,,1,,,,1,1,,,,,,0.25,,,,,,,0.75,0.75,,0.5,,,,,,,,,0.5,,,,0.75,,,,,,,,,0.25,,,,,0.5,,,,0.75,,0.75,,0.75,,,0.75,,,,,0.5,1,,0.75,,1,
3,25-34,male,0.722333332,0.5,0.666666667,,0.5,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,0.75,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,0.75,,
3,35-44,female,0.5,0.444333335,0.38866667,,0.5,,,,,,,,1,,,,,,,,,0.5,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,0.75,0.25,,0.5,,,,,0.5,,,,,,,,0.5,,,,,
60,25-34,male,0.558433332,0.541716666,0.613866667,0.388999999,0.671371429,0.666666667,0.833333333,0.75,0.75,0.5,0.75,1,0.75,0.625,0.625,0.625,0.75,0.666666667,0.75,0.75,0.75,0.625,0.5,0.75,0.666666667,0.5,0.666666667,0.5,0.583333333,0.625,0.75,0.75,0.625,0.5,0.75,0.75,0.666666667,0.583333333,0.666666667,0.75,0.583333333,0.375,0.583333333,0.375,,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.625,0.583333333,0.75,0.25,0.666666667,0.75,0.5,0.75,0.75,0.625,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,1,0.75,0.75,0.75,0.75,0.5,0.666666667,0.75,1
18,25-34,male,0.509222223,0.481333335,0.425833335,0.458499998,0.537,,0.75,0.75,0.75,,0.75,0.75,0.75,,,,,,,,0.75,,,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,,0.75,,0.75,0.75,0.75,0.75,0.75,,,0.25,,,,,,,0.75,,0.75,,0.75,,,,,0.75,0.25,0.5,,0.5,0.75,0.75,0.75,,0.75,0.75,0.5,,,,,0.75,0.75,1,0.75,0.75,,,,,0.75,,0.5
3,45-54,female,0.555666665,0.777666668,0.722333332,0.333000004,0.722333332,0.75,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.75,,,,,,,0.5,,,,,,,,,,,,,,,,,0.75,,,1,,,0.25,,,,,,
19,45-54,male,0.543736844,0.438526317,0.561526314,0.5,0.555666665,0.75,0.75,1,0.25,0.25,0.75,,,,,0.75,,0.75,,0.5,,0.75,0.875,,,,,,,0.75,0.75,0.75,,0.75,,0.75,0.5,0.75,0.5,0.75,0.25,0.75,,0.25,,0.375,,0.5,0.75,0.5,,0.5,,0.75,0.75,0.75,0.75,,,,0.5,,0.25,0.75,,0,0.75,,0.5,0.75,,0.25,0.25,,0.375,,1,,,,0.5,,0.75,,
33,25-34,female,0.621212121,0.631272728,0.636272728,0.516799998,0.626448276,1,1,0.75,1,1,1,1,,1,0.75,1,0.5,0.875,1,,,1,0.75,,0.75,1,0.875,1,1,0.75,1,1,1,,1,1,1,1,1,1,1,1,,,1,0.625,1,0.75,1,,0.75,1,0.75,1,1,0.75,,0.875,1,0.5,,1,0.875,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0.875,1,1,1,,1,1
294,35-44,female,0.682500001,0.629840136,0.692166667,0.337297619,0.740125985,0.777777778,0.9,0.75,0.875,0.5625,0.785714286,0.964285714,0.875,0.625,0.84375,0.875,0.458333333,0.785714286,0.725,0.928571429,0.875,0.90625,0.8125,0.75,0.6875,0.625,0.675,0.71875,0.681818182,0.722222222,0.821428571,0.625,0.75,0.666666667,0.833333333,0.708333333,0.571428571,0.625,0.75,0.59375,0.34375,0.625,0.53125,0.428571429,0.75,0.638888889,0.678571429,0.6875,0.678571429,0.722222222,0.6,0.75,0.625,0.65625,0.694444444,0.714285714,0.78125,0.75,0.75,0.25,0.611111111,0.666666667,0.678571429,0.708333333,0.6875,0.75,0.75,0.291666667,0.678571429,0.611111111,0.28125,0.6,0.75,0.704545455,0.714285714,0.8125,0.958333333,0.75,0.75,0.75,0.75,0.722222222,0.777777778,0.75,0.714285714
6,35-44,male,0.666666667,0.583166669,0.666666667,0.333000004,0.777666668,,,,,0.25,,0.75,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,,1,0.5,,0,,,,,1,0.5,0.25,0.5,0.25,,,,,,0.75,,0.25,,,,,,,0,,,,0.5,,,0.75,,,,,,,,0.5,,
64,45-54,male,0.729140625,0.6458125,0.651015625,0.285714286,0.7685,0.75,1,0.75,0.75,0.625,0.875,1,0.833333333,0.75,1,,1,0.875,0.916666667,0.75,0.6875,0.916666667,0.75,0.833333333,0.75,0.875,0.875,0.75,1,0.75,0.75,1,0.875,0.875,1,0.916666667,,0.75,0.875,1,0.833333333,0.625,0.833333333,0.75,0.875,0.875,,0.75,0.875,0.833333333,0.75,0.875,0.8125,0.875,0.916666667,0.75,0.75,0.75,1,0.75,0.625,0.833333333,0.75,0.875,0.875,0.75,0.75,0.5,0.833333333,0.875,0.625,0.75,1,0.875,0.875,0.875,1,0.833333333,0.666666667,0.75,0.75,0.875,0.75,0.625,0.916666667
165,25-34,female,0.731290909,0.544418182,0.765642424,0.202309525,0.655770491,0.958333333,0.9375,1,0.875,0.9,0.8125,1,0.9375,1,1,0.833333333,1,0.85,0.958333333,0.9375,0.708333333,1,0.5,0.9,0.9,0.85,1,0.8,1,0.833333333,1,0.8125,0.916666667,0.75,0.625,0.85,1,0.9375,1,0.875,0.625,0.625,0.85,1,1,0.375,1,0.625,0.95,1,0.5,0.65,0.666666667,0.666666667,0.8,0.6,0.75,0.8125,0.6875,0.3,0.875,0.5,0.8125,0.8125,0.875,1,1,0.3,0.928571429,0.875,0.25,1,0.95,0.8125,1,0.625,1,0.9375,0.875,1,0.9375,0.95,0.9,0.8,0.833333333
24,35-44,male,0.694624998,0.611249998,0.687541666,0.444333335,0.636363636,0.5,0.75,0.75,0.75,0.5,0.75,0.75,,,0.75,0.75,0.5,1,,0.5,0.25,,0.75,,0.75,0.75,0.5,,0.75,0.75,0.75,0.5,0.5,,0.25,0.75,0.75,,,0.5,0.5,,,0.5,0.75,,0.25,0.5,,0.5,0.5,0.75,0.5,0.5,0.75,,0.5,0.5,0.5,0.25,0.5,,,,0.5,,,0.5,,0.75,,,,,,,,0.75,,0.25,,0.25,0.5,0.5,
8,45-54,female,0.729125001,0.4375,0.604249999,0.166999996,1,,,,,0.5,,1,0.75,,1,,1,0.5,,0.75,1,,,,0.25,,,0.25,0.5,,0.25,0.25,,0.25,0.5,,0.583333333,0.75,,,0.25,,0.5,,0.5,,,1,,,,,,0.75,0.75,,,,,,0.25,0.5,0.25,0.75,,,,,,,0.5,0.75,,,,,,,0.75,,,0.5,,,0.75
19,25-34,male,0.552578948,0.552578948,0.552631579,0.444666664,0.597333332,0.5,,0.5,0.625,,,,,0.625,,,0.75,1,,,0.75,,1,0.75,,,,,0.5,,,0.625,0.75,,,0.75,,0.75,,0.75,,0.5,,0.5,0.75,,0.75,,0.75,0.75,,0.75,,0.75,,0.75,,0.875,,0.75,,,0.75,0.75,,,,,0.625,0.75,0.75,,,0.75,0.75,,0.75,,0.75,0.625,0.625,,,0.625,0.75
8,45-54,male,0.6875,0.645750001,0.666625001,0.666999996,0.733399999,,,,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,,,,1,,,,,,1,,,,1,,,,1,1,,,1,,,,,1,1,,,,,,,,1,,,,0.5,,,,,,,,,,,,,,
17,45-54,male,0.754882353,0.735235295,0.784235295,0.3,0.916666667,,1,,1,0.75,,,,,,0.75,,0.75,1,,,0.5,,1,0.5,0.5,,0.75,0.25,,,,0.5,1,,0.25,0.75,0.75,,0.25,,,,,0.75,0.75,1,,,0.75,,,,,,,0.75,0.75,0.75,,,0.75,,,,,0.5,0,0.75,,,0.75,,0.75,,,,0.75,,1,,,1,0.5,1
34,25-34,male,0.676617645,0.500058823,0.549058823,0.31809091,0.620277779,0.625,0.625,0.75,0.5,0.25,0.5,0.75,0.75,0.5,0.5,0.75,0.625,0.5,0.75,0.625,0.625,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.125,0.625,0.25,0.625,0.625,0.75,0.625,0.75,0.75,0.75,0.625,0.75,0.75,0.5,,0.5,0.5,0.75,,0.75,,0.625,0.5,0.25,0.25,0.5,0,0.25,0.5,0.5,0.5,0.375,0.5,0.75,0.25,0.625,0.5,0.5,0.5,,,0.5,0.75,1,0.5,,0.5,0.75,0.5,0.75,,
28,35-44,female,0.88682143,0.779642859,0.82132143,0.083333333,0.618857145,0.75,1,1,,0.5,1,1,0.75,0.25,,,,0.875,1,,0.25,0.75,0.875,0.75,0.5,,0.75,0.75,0.75,0.75,1,,,0.5,1,,0.75,0.75,0.75,0.25,,0.5,0.75,,0.75,1,,1,1,0.75,,,0.5,0.75,1,1,1,0.5,1,,1,0.75,0.5,,1,0.75,,0.25,0.75,0.75,0.5,0.75,0.75,,0.75,0.75,1,0.75,0.75,1,1,0.75,1,0.75,0.75
4,45-54,female,0.541749999,0.5,0.875,,0.5,1,,,,0.5,,,0.75,,1,,,,,,,,,,,,,0.25,,0.25,,,,,,,0.25,,,,,,,0.25,,,1,1,1,1,1,,,,,,1,,,,,,,,,1,0.75,1,0.75,0.75,,,,0.75,1,,,,0.75,,,0.5,,,
13,35-44,male,0.769384613,0.743692306,0.820615383,0.666999996,0.933399999,,,0.75,,,,1,,0.625,,,0.833333333,1,1,0.875,,,0.75,0.75,,0.6875,,0.75,,0.75,0.75,0.75,0.75,0.75,0.875,0.916666667,,0.75,0.75,,,0.625,0.5,,,0.875,0.5,0.75,,0.625,0.75,,,0.75,,0.5,,,,0.75,0.75,,,1,0.75,1,0.875,,0.75,,,1,0.875,,,,,0.75,,,0.75,0.75,,,0.75
47,35-44,male,0.680893616,0.64893617,0.716234044,0.547785712,0.608961539,0.75,0.75,0.75,1,0.25,0.875,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.75,0.5,0.75,0.25,0.5,0.75,0.25,0.375,0.75,0.25,0.5,0.5,0.25,0.125,0.375,0.5,0.375,0.25,,0.25,,0.5,0.5,0.25,0.75,,0.875,0.75,0.5,0.75,0.25,0.5,0.875,0.75,0.5,0.75,0.75,0.25,0.75,0.25,0.25,0.875,0.5,0.75,0.75,0.25,0.75,1,0.5,0.75,0.75,0.75,0.75,0.25,1,0.5,0.75,0.125,0.75,0.5,0.875,0.75,0.75
11,45-54,female,0.545636361,0.5,0.651636362,0.416500002,0.714142859,,0.75,0.75,0.75,0.25,,0.75,,0.75,0.75,0.75,,,0.875,,,,,,0.75,,0.75,0.25,,0.75,0.75,,,0.75,0.875,,0.75,0.75,0.75,,0.75,0.75,,0.5,0.75,,,,,0.75,0.75,,0.5,,,0.75,0.5,,,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,,0.75,0.75,,0.75,0.75,0.75,0.75,,,0.75,0.75,0.75,,0.75,0.75,0.75,
19,35-44,male,0.693052631,0.622894736,0.61394737,0.333499998,0.750099999,0.75,0.875,0.25,0.5,0.75,0.875,0.75,,0.75,1,0.75,0.5,0.75,0.875,0.75,0.5,0.75,0.5,,,0.375,1,,1,0.25,0.75,0.625,0.75,1,0.375,1,0.75,0.75,0.75,0.25,0.25,0.25,1,0.5,,0.75,0.75,0.25,0.5,0.625,0.5,0.75,0.75,0.875,1,0.25,0.75,0,0.75,0.25,0.625,0.75,0.875,0.75,0.75,,0.75,0.75,0.75,0.75,0.75,0.625,0.75,,0.75,,1,0.75,,0.75,1,0.75,0.75,0.75,1
2,55+,male,0.583499998,0.583499998,0.666500002,,0.833000004,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.75,,,,,,,
22,45-54,male,0.840818183,0.772681819,0.742363637,0.139166663,0.814666669,0.5,1,1,,1,0.75,0.75,0.75,,,0.875,1,0.75,0.75,0.75,0.75,1,,1,0.75,1,1,0.75,1,0.875,0.75,1,0.875,0.875,1,1,,,1,0.875,0.75,1,1,,0.75,0.75,0.75,0.75,1,1,,0.75,1,0.875,,0.916666667,0.916666667,0.75,0.875,0.25,0.5,0.25,0.75,1,0.5,0.5,0.5,0.25,,0.125,0.5,0.5,0.5,0.875,0.416666667,,0.75,1,0.5,0.25,0.5,,,0.5,
37,25-34,female,0.459432433,0.418918919,0.50008108,0.45,0.545590907,0.5,1,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,,0,0.25,0.5,0.75,0.25,0.25,0.5,0.75,0.25,0.75,0.75,0.25,0,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.75,,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0,0.5,0.25,0.75,0.75,0.5,0.75,0,0.25,0.5,0,0.5,0.5,0.25,0.75,0.5,1,0.5,0.5,0.5,0.75,0.25,0.75,0.5,0.25
12,35-44,male,0.569583332,0.583333333,0.5,0.366600001,0.541749999,0.75,,,,0.5,0.5,,,,0.75,,0.75,0.75,,,,,0.75,0.75,,,,,,,0.75,,0.75,0.75,,0.5,0.75,0.75,0.5,,0.75,,,0.5,0.75,0.75,,,,,0.75,,,,0.75,0.75,0.75,0.75,1,,,,0.75,,0.5,0.5,0.75,0.75,,,,0.5,,0.75,0.5,0.75,,,,,,0.75,,,
35,35-44,male,0.757114286,0.666657143,0.619114285,0.407444444,0.833294118,1,,0.375,0.875,,,1,0.5,0.75,0.75,0.625,,0.25,0.75,1,0.75,0.75,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1,1,0.75,0.5,0.5,0.5,0.75,0.75,,0.75,,0.75,0.5,,0.5,0.75,,1,,0.5,0.75,0.5,0.875,1,0.75,0,0.75,0.5,,0.75,0.75,,0.75,,0.875,0.75,,0.75,0.75,,0.625,0.75,0.875,0.75,,0.625,0.5,0.75,1,1,0.75,0.75,0.75,0.75
11,45-54,male,0.575545457,0.545181822,0.621181819,0.166999996,0.555555556,1,0.75,0.75,,0.25,,,,,,0.25,,,,0.75,0.75,,0.25,1,,0.25,0.75,,,,,,,0.25,0.75,,0.75,,0.75,0.5,,,0.5,0.25,0.5,,0.75,0.25,,1,,,,,,,1,0.25,,,0.25,,0.25,,,0.5,0.5,,,,0.25,,0.25,0.25,,,,,,0.25,,,,0.5,
64,35-44,male,0.736937501,0.690062501,0.747312501,0.2889,0.727538462,1,1,1,1,0.666666667,0.833333333,1,0.916666667,0.75,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,1,0.9375,1,1,0.75,0.875,1,0.916666667,0.916666667,0.875,1,1,1,1,1,1,0.625,0.1875,0.583333333,0.5,0.0625,0.75,1,0.5,0.5,0.25,0.5,0.125,0.5,0.125,0.25,0.833333333,1,0.75,0.75,0.583333333,0.75,0.166666667,0.75,0.75,0.375,0.5,0.75,0.125,0.75,1,1,1,0.583333333,0.625,0.75,0.5,0.833333333,0.333333333,0.75
